1	1	10	1
1	2	10	2
1	3	10	3
1	4	10	4
1	5	10	5
1	6	10	6
1	7	7	7
1	8	6	8
2	1	8	9
2	2	9	10
2	3	8	11
2	4	9	12
3	1	11	13
3	2	10	14
3	3	10	15
3	4	10	16
3	5	10	17
3	6	10	18
4	1	6	19
4	2	22	20
4	3	25	21
4	4	19	22
4	5	28	23
4	6	26	24
4	7	26	25
4	8	24	26
4	9	25	27
5	1	10	28
5	2	10	29
5	3	10	30
6	1	22	31
6	2	23	32
6	3	23	33
6	4	22	34
6	5	22	35
6	6	18	36
6	7	13	37
6	8	10	38
7	1	8	39
7	2	8	40
7	3	8	41
8	1	12	42
8	2	12	43
8	3	12	44
8	4	12	45
8	5	12	46
8	6	12	47
8	7	12	48
8	8	12	49
8	9	14	50
8	10	12	51
8	11	12	52
NULL	NULL	NULL	NULL
